year	manuscript	paper_source	matrix	clade	model_equilibrium	model_rate_matrix	model_site_rate_hetero	model_combined	recoding	software	software_version	inference	convergence	support_ctenophora_sister	support_porifera_sister	support_porifera-monophyletic	support_porifera_ctenophora_sister	notes	final
2015	Borowiec2015	Figure S3	Borowiec2015_Best108	Choanimalia	CAT	GTR	NA	Recoding + GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	NA	NA	98		Unresolved
2015	Borowiec2015	Figure S3	Borowiec2015_Best108	Choanimalia	CAT	GTR	NA	Recoding + GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	NA	NA	NA		Unresolved
2015	Borowiec2015	Figure S3	Borowiec2015_Best108	Choanimalia	CAT	GTR	NA	Recoding + GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	NA	NA	87		Unresolved
2015	Borowiec2015	Figure S2	Borowiec2015_TaxaMin30	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure S2	Borowiec2015_TaxaMin35	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure3	Borowiec2015_Total1080	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	FALSE	100	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure3	Borowiec2015_Total1080	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	jackknife		Bayesian		100	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure S3	Borowiec2015_MareMatrix	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	98	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure S3	Borowiec2015_60Boot	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	88	NA	NA	NA		Unresolved
2015	Borowiec2015	Figure3	Borowiec2015_Best108	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	59	NA	NA	NA		Unresolved
2015	Borowiec2015	Figure S2	Borowiec2015_60Boot	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure S2	Borowiec2015_Slow108	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure S2	Borowiec2015_LowLB	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure S2	Borowiec2015_Best108	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	NA	NA	NA		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D9	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	99	NA	90	NA		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D14	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	99	NA	97	NA		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D18	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	99	NA	100	NA		Ctenophora-sister
2015	Borowiec2015	Figure S2	Borowiec2015_TaxaMin33	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	97	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure S2	Borowiec2015_MareMatrix	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	97	NA	NA	NA		Ctenophora-sister
2015	Borowiec2015	Figure3	Borowiec2015_Total1080	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.1	ML	NA	95	NA	NA	NA		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_Philippe2009_no_ribo	Opisthokonta	NA	data partitioning	GAMMA	data partitioning	aa	RAxML	8.0.2	ML	NA	93	NA	42	NA		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D11	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	92	NA	82	NA		Ctenophora-sister
2015	Borowiec2015	Figure S2	Borowiec2015_Saturation108	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	91	NA	NA	NA		Ctenophora-sister
2015	Pisani2015	Figure S2	Moroz2014_3d	Choanimalia	Empritical	WAG	NA	WAG	aa	RAxML	8.0.26	ML	TRUE	5	NA	24	NA		Unresolved
2015	Whelan2015	Table 1	Whelan2015_D1	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	95	0	See table 1 for description for each dataset.	Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D2	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	90	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D3	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	94	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D4	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	94	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D5	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	68	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D6	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	95	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D7	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	53	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D8	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	90	0		Ctenophora-sister
2015	Pisani2015	Figure S1	Ryan2013_est	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	FALSE	0	100	100	0		Porifera-sister
2015	Whelan2015	Table 1	Whelan2015_D10	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	88	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D12	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	99	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D13	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	99	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D15	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	66	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D16	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	94	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D17	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	93	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D19	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	96	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D20	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	100	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D21	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.0.2	ML	NA	100	0	77	0		Ctenophora-sister
2015	Chang2015	Figure 2	Chang2015	Holozoa	Estimated	GTR	NA	GTR	aa	RAxML	8.1.3	ML	NA	100	0	100	0		Ctenophora-sister
2015	Pisani2015	Figure S1	Ryan2013_est	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	1	98	100	NA		Porifera-sister
2015	Pisani2015	Figure S5	Philippe2009	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	96	95	NA		Porifera-sister
2015	Pisani2015	Figure S1	Ryan2013_est	Holozoa	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	4	94	100	NA		Unresolved
2015	Whelan2015	Table 1	Whelan2015_Philippe2009_no_ribo	Opisthokonta	CAT	GTR	GAMMA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	90	99	NA	"The tree is poorly resolved, Ctenophore and cnidarians are not sister"	Unresolved
2015	Pisani2015	Figure S4	Whelan2015_D16	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	77	100	NA		Unresolved
2015	Pisani2015	Figure S4	Whelan2015_D16	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	13	74	50	NA		Unresolved
2015	Pisani2015	Figure S2	Moroz2014_3d	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	69	76	NA		Unresolved
2015	Pisani2015	Figure S3	Whelan2015_D6	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	52	66	NA		Unresolved
2015	Pisani2015	Figure S3	Whelan2015_D6	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	53	27	96	NA		Unresolved
2015	Pisani2015	Figure S3	Whelan2015_D6	Holozoa	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	72	16	100	NA		Unresolved
2015	Pisani2015	Figure S4	Whelan2015_D16	Holozoa	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	76	13	100	NA		Unresolved
2015	Whelan2015	Table 1	Whelan2015_D6	Opisthokonta	CAT	GTR	GAMMA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2015	Whelan2015	Table 1	Whelan2015_D16	Opisthokonta	CAT	GTR	GAMMA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2015	Chang2015	Figure 2	Chang2015	Holozoa	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	100	0	100	0		Ctenophora-sister
2015	Pisani2015	Figure S3	Whelan2015_D6	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	99	0	100	NA		Ctenophora-sister
2015	Pisani2015	Figure S4	Whelan2015_D16	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	99	0	100	NA		Ctenophora-sister
2015	Pisani2015	Figure S1	Ryan2013_est	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	99	0	99	NA		Ctenophora-sister
2016	Whelan2016	NA	Nosenkoo2013	Choanimalia	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	99	NA	100	NA		Ctenophora-sister
2016	Whelan2016	NA	Philippe2009	Opisthokonta	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	93	NA	100	NA		Unresolved
2016	Whelan2016	NA	Philippe2009	Opisthokonta	CAT	GTR	NA	GTR + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	97	NA	99	NA		Ctenophora-sister
2016	Whelan2016	NA	Nosenkoo2013	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	v.8.0.26	ML	NA	100	NA	FALSE	NA		Ctenophora-sister
2016	Whelan2016	NA	Philippe2009	Opisthokonta	NA	data partitioning	NA	data partitioning	aa	RAxML	v.8.0.26	ML	NA	99	NA	FALSE	NA		Ctenophora-sister
2016	Whelan2016	NA	Nosenkoo2013	Choanimalia	CAT	Poisson	NA	Poisson + CAT	aa	PhyloBayes MPI	1.5a	Bayesian	TRUE	NA	99	99	NA		Porifera-sister
2017	Simion2017	Figure S1	Simion2017	Holozoa	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes MPI	1.6j	Bayesian	FALSE	NA	100	100	NA		Porifera-sister
2017	Simion2017	Figure 4	Simion2017	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes MPI	1.6j	Bayesian	FALSE	0	100	0	NA		Porifera-sister
2017	Simion2017	Figure 4	Simion2017_removal_60%_heteropecilleous_sites	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes MPI	1.6j	Bayesian	FALSE	0	100	0	0	PL sister to Ct + Bl + Cn	Porifera-sister
2017	Simion2017	Figure 4	Simion2017_removal_70%_heteropecilleous_sites	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes MPI	1.6j	Bayesian	FALSE	0	100	0	0	PL sister to Ct + Bl + Cn	Porifera-sister
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	CAT	GTR	GAMMA	Recoding + GTR + CAT	S&R-6	PhyloBayes MPI		Bayesian	TRUE	0	99	NA	NA		Porifera-sister
2017	Simion2017	Figure 4	Simion2017	Holozoa	Empritical	LG	GAMMA	LG	aa	RAxML		ML	NA	100	0	0	NA		Ctenophora-sister
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	CAT	GTR	GAMMA	Recoding + GTR + CAT	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	0	99	100	NA		Porifera-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	CAT	GTR	GAMMA	Recoding + GTR + CAT	S&R-6	PhyloBayes MPI		Bayesian	TRUE	0	98	NA	NA		Porifera-sister
2017	Simion2017	Figure S1	Simion2017	Choanimalia	Empritical	LG	GAMMA	LG	aa	RAxML		ML	NA	100	0	100	NA		Ctenophora-sister
2017	Simion2017	Figure 3	Simion2017	Choanimalia	CAT	Poisson	GAMMA	Poisson + CAT	aa	PhyloBayes MPI	1.6j	Bayesian	FALSE	NA	95	100	NA		Porifera-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	CAT	GTR	GAMMA	Recoding + GTR + CAT	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	1	95	99	NA		Porifera-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	CAT	GTR	GAMMA	Recoding + GTR + CAT	S&R-6	PhyloBayes MPI		Bayesian	TRUE	2	94	NA	NA		Unresolved
2017	Whelan2017	Table 1	Whelan2017_full	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0	76	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	CAT	GTR	GAMMA	Recoding + GTR + CAT	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	9	89	100	0		Unresolved
2017	Feuda2017	Figure S4	Chang2015	Holozoa	CAT	GTR	GAMMA	Recoding + GTR + CAT	KGB-6	PhyloBayes MPI		Bayesian	TRUE	22	78	NA	NA		Unresolved
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	CAT	GTR	GAMMA	GTR + CAT	aa	PhyloBayes MPI		Bayesian	TRUE	20	77	100	NA		Unresolved
2017	Feuda2017	Figure S4	Chang2015	Holozoa	CAT	GTR	GAMMA	Recoding + GTR + CAT	Dayhoff-6	PhyloBayes MPI		Bayesian	TRUE	25	74	100	NA		Unresolved
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_RCFV_relaxed	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_RCFV_strict	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_LB_relaxed	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_LB_strict	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_RCFV_LB_relaxed	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_RCFV_LB_strict	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	CAT	GTR	GAMMA	Recoding + GTR + CAT	KGB-6	PhyloBayes MPI		Bayesian	TRUE	5	68	NA	NA		Unresolved
2017	Feuda2017	Figure S2	Whelan2015_D20	Holozoa	CAT	GTR	GAMMA	GTR + CAT	aa	PhyloBayes MPI		Bayesian	TRUE	31	68	100	0		Unresolved
2017	Feuda2017	Figure S4	Chang2015	Holozoa	CAT	GTR	GAMMA	Recoding + GTR + CAT	S&R-6	PhyloBayes MPI		Bayesian	TRUE	22	62	NA	NA		Unresolved
2017	Feuda2017	Figure S1	Whelan2015_D20	Opisthokonta	CAT	GTR	GAMMA	Recoding + GTR + CAT	KGB-6	PhyloBayes MPI		Bayesian	TRUE	17	42	NA	NA		Unresolved
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_RCFV_relaxed	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_LB_relaxed	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_LB_strict	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_RCFV_LB_relaxed	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_Ctenophore_Metazoa_RCFV_LB_strict	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0		0		Ctenophora-sister
2017	Whelan2017	Table 1	Whelan2017_strict	Choanimalia	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0	95	0		Ctenophora-sister
2017	Feuda2017	Figure S4	Chang2015	Holozoa	NA	data partitioning	NA	data partitioning	aa	RAxML	8.2.4	ML	NA	100	0	100	0		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	CAT	GTR	GAMMA	Recoding + GTR + CAT	KGB-6	PhyloBayes MPI		Bayesian	TRUE	29	37	NA	NA		Unresolved
2017	Simion2017	Figure 4	Simion2017	Choanimalia	Empritical	LG	GAMMA	LG	aa	RAxML		ML	NA	0	0	0	100		Unresolved
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	Estimated	GTR	GAMMA	Recoding + GTR	S&R-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
2017	Feuda2017	Figure S1	Whelan2015_D20	Choanimalia	Estimated	GTR	GAMMA	Recoding + GTR	KGB-6	PhyloBayes MPI		Bayesian	TRUE	100	0	NA	NA		Ctenophora-sister
