component_number	matrix_partition
43	Whelan2017_fullSubset18_06,Moroz2014_3d997,Borowiec2015_Total1080OG276.fasta.aln_gene324,
44	Ryan2013_estgene120,Dunn2008Tribe225,Nosenko2013_ribo_11057KOG3166,Borowiec2015_Total1080OG77.fasta.aln_gene855,Hejnol2009Tribe275_0,Philippe2009Gene_0029,Nosenko2013_ribo_14615KOG3387,Nosenko2013_ribo_11057KOG0886_01,Borowiec2015_Best108OG144.fasta.aln_gene15,Nosenko2013_ribo_14615KOG3166,Simion2017V2META14768-42-Calc_Hmm10-BMGE05,Dunn2008Tribe169,Philippe2009Gene_0028,Ryan2013_estgene9,Philippe2009Gene_0027,Borowiec2015_Total1080OG310.fasta.aln_gene362,Nosenko2013_ribo_11057KOG3387,Chang2015l12e_01,Borowiec2015_Total1080OG144.fasta.aln_gene183,Nosenko2013_ribo_14615KOG0886_01,
45	Whelan2015_D10Gene_0576,Borowiec2015_Total1080OG89.fasta.aln_gene984,Whelan2017_fullSubset24_02,Borowiec2015_Best108OG86.fasta.aln_gene101,Chang2015mcm_01,Whelan2017_fullSubset2_17,Ryan2013_estgene24,Simion2017V2META10053-2-1-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG84.fasta.aln_gene930,Whelan2015_D20Gene_0576,Borowiec2015_Total1080OG85.fasta.aln_gene940,Whelan2017_strictSubset29,Borowiec2015_Best108OG85.fasta.aln_gene100,Ryan2013_estgene112,Borowiec2015_Best108OG84.fasta.aln_gene99,Whelan2015_D1Gene_0576,Borowiec2015_Total1080OG86.fasta.aln_gene951,Borowiec2015_Best108OG89.fasta.aln_gene105,
46	Dunn2008Tribe1244,Simion2017V2META14531-42-Calc_Hmm10-BMGE05,Chang2015tribe1244,Hejnol2009Tribe1273_0,Whelan2017_fullSubset11_03,
47	Whelan2017_fullSubset1_02,Simion2017V2META11726-2-42-Calc_Hmm10-BMGE05,
48	Whelan2017_fullSubset1_04,Chang2015srp54,Simion2017V2META13793-42-Calc_Hmm10-BMGE05,
49	Whelan2015_D10Gene_0843,Whelan2015_D20Gene_0843,Philippe2009Gene_0102,Nosenko2013_ribo_11057KOG1754,Whelan2015_D1Gene_0843,Nosenko2013_ribo_14615KOG1754,Chang2015rps22a,
50	Borowiec2015_Total1080OG909.fasta.aln_gene995,Simion2017V2META15121-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG81.fasta.aln_gene96,Borowiec2015_Total1080OG1007.fasta.aln_gene7,Whelan2015_D20Gene_0315,Borowiec2015_Total1080OG81.fasta.aln_gene899,Borowiec2015_Total1080OG1101.fasta.aln_gene94,Simion2017V2META13837-42-Calc_Hmm10-BMGE05,Ryan2013_estgene181,Borowiec2015_Total1080OG406.fasta.aln_gene464,Simion2017V2META13469-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG585.fasta.aln_gene649,Whelan2015_D1Gene_0315,Borowiec2015_Total1080OG706.fasta.aln_gene777,Whelan2015_D10Gene_0315,Simion2017V2META13743-42-Calc_Hmm10-BMGE05,
51	Borowiec2015_Total1080OG561.fasta.aln_gene623,Ryan2013_estgene47,Borowiec2015_Best108OG561.fasta.aln_gene71,Whelan2017_fullSubset20_06,Simion2017V2META14419-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe1731_0,
52	Simion2017V2META11924-42-Calc_Hmm10-BMGE05,Chang2015xpb,Whelan2017_fullSubset2_18,Whelan2015_D1Gene_0587,
53	Whelan2015_D1Gene_0989,Whelan2015_D10Gene_0989,Simion2017V2META12318-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0989,
54	Whelan2015_D20Gene_0470,Whelan2015_D10Gene_0470,Borowiec2015_Total1080OG1079.fasta.aln_gene74,Moroz2014_3d470,Simion2017V2META14034-42-Calc_Hmm10-BMGE05,Ryan2013_estgene385,Borowiec2015_Total1080OG1037.fasta.aln_gene34,Hejnol2009Tribe3232_0,Whelan2015_D1Gene_0470,
55	Simion2017V2META11175-42-Calc_Hmm10-BMGE05,Whelan2015_D10Gene_0446,Whelan2015_D20Gene_0446,Whelan2015_D1Gene_0446,
56	Simion2017V2META13389-42-Calc_Hmm10-BMGE05,
57	Whelan2017_fullSubset22_06,Borowiec2015_Total1080OG384.fasta.aln_gene439,Simion2017V2META14137-42-Calc_Hmm10-BMGE05,Borowiec2015_Best108OG384.fasta.aln_gene47,
58	Simion2017V2META11390-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0884,Whelan2017_fullSubset22_07,
59	Borowiec2015_Total1080OG672.fasta.aln_gene740,Whelan2017_fullSubset5_10,Simion2017V2META10948-1-42-Calc_Hmm10-BMGE05,Ryan2013_estgene277,
60	Simion2017V2META10832-1-42-Calc_Hmm10-BMGE05,Moroz2014_3d1015,
61	Whelan2017_fullSubset4_05,Whelan2015_D10Gene_0121,Whelan2015_D1Gene_0121,Simion2017V2META13636-42-Calc_Hmm10-BMGE05,
62	Whelan2017_fullSubset10_14,Ryan2013_estgene235,Simion2017V2META12260-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2740_0,
63	Whelan2015_D10Gene_0857,Whelan2015_D1Gene_0857,Whelan2015_D20Gene_0857,Simion2017V2META12313-42-Calc_Hmm10-BMGE05,
64	Whelan2017_fullSubset22_02,Whelan2015_D1Gene_0281,Whelan2015_D10Gene_0281,Hejnol2009Tribe3027_0,Borowiec2015_Total1080OG184.fasta.aln_gene225,Whelan2015_D20Gene_0281,
65	Simion2017V2META10904-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0428,
66	Whelan2017_fullSubset21_01,Simion2017V2META12814-42-Calc_Hmm10-BMGE05,
67	Simion2017V2META12404-42-Calc_Hmm10-BMGE05,
68	Simion2017V2META12131-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG579.fasta.aln_gene642,Hejnol2009Tribe2540_0,Whelan2015_D1Gene_0678,Whelan2015_D10Gene_0678,Ryan2013_estgene288,Whelan2015_D20Gene_0678,
69	Whelan2015_D10Gene_0677,Whelan2015_D1Gene_0677,Simion2017V2META15708-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG786.fasta.aln_gene862,
70	Whelan2015_D1Gene_0629,Ryan2013_estgene352,Simion2017V2META13556-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2802_0,Simion2017V2META17779-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG655.fasta.aln_gene721,Whelan2015_D20Gene_0629,Hejnol2009Tribe2716_0,Whelan2017_fullSubset26_06,Borowiec2015_Total1080OG702.fasta.aln_gene773,Moroz2014_3d629,Whelan2015_D10Gene_0629,
71	Borowiec2015_Total1080OG594.fasta.aln_gene659,Nosenko2013_ribo_11057KOG1723,Whelan2015_D10Gene_0063,Philippe2009Gene_0067,Borowiec2015_Best108OG594.fasta.aln_gene75,Nosenko2013_ribo_14615KOG1723,Simion2017V2META14926-42-Calc_Hmm10-BMGE05,Chang2015rpl24,Whelan2015_D20Gene_0063,Whelan2015_D1Gene_0063,Whelan2017_fullSubset2_03,
72	Whelan2015_D20Gene_0278,Moroz2014_3d278,Hejnol2009Tribe2747_0,Whelan2015_D1Gene_0278,Whelan2015_D10Gene_0278,
73	Borowiec2015_Total1080OG1030.fasta.aln_gene28,Whelan2015_D20Gene_0272,Moroz2014_3d272,Whelan2015_D10Gene_0272,Whelan2015_D1Gene_0272,
74	Whelan2017_fullSubset21_05,Simion2017V2META10814-1-42-Calc_Hmm10-BMGE05,
75	Chang2015glcn,Whelan2017_fullSubset4_11,Simion2017V2META12674-42-Calc_Hmm10-BMGE05,Moroz2014_3d509,Borowiec2015_Total1080OG254.fasta.aln_gene301,
76	Simion2017V2META13624-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset4_06,Moroz2014_3d145,
77	Borowiec2015_Total1080OG35.fasta.aln_gene414,Simion2017V2META10852-1-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG39.fasta.aln_gene456,Simion2017V2META10155-1-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG40.fasta.aln_gene468,Simion2017V2META10423-1-1-42-Calc_Hmm10-BMGE05,Nosenko2013_nonribo_9187KOG0594,Borowiec2015_Total1080OG36.fasta.aln_gene424,Ryan2013_estgene404,Borowiec2015_Total1080OG37.fasta.aln_gene434,Borowiec2015_Total1080OG38.fasta.aln_gene445,
78	Whelan2015_D20Gene_0066,Hejnol2009Tribe2683_0,Ryan2013_estgene146,Whelan2015_D10Gene_0066,Whelan2015_D1Gene_0066,Borowiec2015_Total1080OG409.fasta.aln_gene467,
79	Whelan2015_D10Gene_0035,Whelan2015_D1Gene_0035,Whelan2015_D20Gene_0035,Simion2017V2META10840-2-42-Calc_Hmm10-BMGE05,
80	Whelan2015_D1Gene_1004,Hejnol2009Tribe2484_0,Whelan2015_D1Gene_0328,Simion2017V2META13816-42-Calc_Hmm10-BMGE05,Whelan2017_strictSubset22,Whelan2017_fullSubset4_20,Whelan2015_D20Gene_0328,Whelan2015_D10Gene_0328,Whelan2017_fullSubset28_01,Simion2017V2META14547-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG707.fasta.aln_gene778,
81	Ryan2013_estgene161,Simion2017V2META14176-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG633.fasta.aln_gene698,Nosenko2013_ribo_14615KOG3421,Borowiec2015_Best108OG633.fasta.aln_gene80,Nosenko2013_ribo_11057KOG3421,Borowiec2015_Total1080OG784.fasta.aln_gene860,Philippe2009Gene_0055,Chang2015rpl14a,Dunn2008Tribe325,
82	Ryan2013_estgene391,Simion2017V2META13108-42-Calc_Hmm10-BMGE05,Chang2015orf2,Whelan2017_fullSubset31_01,Moroz2014_3d483,Hejnol2009Tribe2779_0,Borowiec2015_Total1080OG378.fasta.aln_gene432,Whelan2017_strictSubset26,Borowiec2015_Best108OG378.fasta.aln_gene45,
83	Whelan2015_D1Gene_0807,Hejnol2009Tribe926_0,Simion2017V2META14188-42-Calc_Hmm10-BMGE05,Whelan2015_D20Gene_0807,Dunn2008Tribe700,Borowiec2015_Best108OG430.fasta.aln_gene52,Whelan2015_D10Gene_0807,Ryan2013_estgene140,Borowiec2015_Total1080OG430.fasta.aln_gene491,
84	Whelan2015_D10Gene_0668,Whelan2017_fullSubset5_09,Hejnol2009Tribe5088_0,Whelan2015_D20Gene_0668,Whelan2015_D1Gene_0668,Moroz2014_3d668,Borowiec2015_Best108OG548.fasta.aln_gene67,Borowiec2015_Total1080OG548.fasta.aln_gene612,Simion2017V2META14578-42-Calc_Hmm10-BMGE05,
85	Dunn2008Tribe200,Nosenko2013_ribo_11057KOG3353,Nosenko2013_ribo_14615KOG3353,Chang2015rpl17,Philippe2009Gene_0058,
86	Borowiec2015_Total1080OG1113.fasta.aln_gene105,Ryan2013_estgene136,Hejnol2009Tribe2007_0,
87	Hejnol2009Tribe2663_0,Whelan2017_fullSubset7_04,Borowiec2015_Total1080OG631.fasta.aln_gene696,Simion2017V2META12691-42-Calc_Hmm10-BMGE05,
88	Whelan2017_fullSubset10_03,Simion2017V2META14565-42-Calc_Hmm10-BMGE05,
89	Simion2017V2META13890-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG338.fasta.aln_gene390,
90	Borowiec2015_Total1080OG407.fasta.aln_gene465,Whelan2015_D1Gene_0337,Whelan2017_fullSubset26_02,Simion2017V2META14820-42-Calc_Hmm10-BMGE05,
91	Whelan2017_fullSubset10_08,Hejnol2009Tribe2193_0,Simion2017V2META11869-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0545,
92	Whelan2015_D10Gene_0129,Borowiec2015_Total1080OG904.fasta.aln_gene990,Dunn2008Tribe740,Moroz2014_3d129,Simion2017V2META15328-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe967_0,Ryan2013_estgene160,Whelan2015_D20Gene_0129,Whelan2015_D1Gene_0129,
93	Whelan2017_fullSubset4_17,Hejnol2009Tribe2974_0,Whelan2015_D1Gene_0819,Whelan2015_D10Gene_0819,Ryan2013_estgene177,Borowiec2015_Total1080OG916.fasta.aln_gene1001,Moroz2014_3d819,Whelan2015_D20Gene_0819,Simion2017V2META14108-42-Calc_Hmm10-BMGE05,
94	Hejnol2009Tribe1219_0,Simion2017V2META15433-42-Calc_Hmm10-BMGE05,Chang2015tribe1099,Ryan2013_estgene137,Dunn2008Tribe1099,Whelan2017_fullSubset2_21,Whelan2015_D20Gene_0933,Whelan2015_D10Gene_0933,Whelan2015_D1Gene_0933,
95	Borowiec2015_Best108OG1064.fasta.aln_gene5,Chang2015hsp70_01,Borowiec2015_Total1080OG1065.fasta.aln_gene62,Nosenko2013_nonribo_9187KOG0100,Philippe2009Gene_0020,Philippe2009Gene_0019,Chang2015hsp70,Borowiec2015_Total1080OG1064.fasta.aln_gene61,
96	Borowiec2015_Best108OG253.fasta.aln_gene28,Nosenko2013_ribo_14615KOG3255,Dunn2008Tribe143,Nosenko2013_ribo_11057KOG3255,Chang2015rpl9,Philippe2009Gene_0088,Simion2017V2META13546-42-Calc_Hmm10-BMGE05,Borowiec2015_Total1080OG253.fasta.aln_gene300,
97	Hejnol2009Tribe1786_0,Borowiec2015_Total1080OG298.fasta.aln_gene348,Whelan2015_D20Gene_0017,Whelan2015_D1Gene_0017,Whelan2015_D10Gene_0017,Whelan2017_fullSubset2_01,Ryan2013_estgene195,Borowiec2015_Best108OG298.fasta.aln_gene35,
98	Chang2015rpl16b,Borowiec2015_Best108OG553.fasta.aln_gene68,Borowiec2015_Total1080OG553.fasta.aln_gene616,Nosenko2013_ribo_14615KOG3204,Nosenko2013_ribo_11057KOG3204,Philippe2009Gene_0057,Ryan2013_estgene63,Simion2017V2META14169-42-Calc_Hmm10-BMGE05,
99	Borowiec2015_Total1080OG185.fasta.aln_gene226,Hejnol2009Tribe1559_0,Borowiec2015_Total1080OG442.fasta.aln_gene503,Simion2017V2META13115-42-Calc_Hmm10-BMGE05,Simion2017V2META14122-42-Calc_Hmm10-BMGE05,Dunn2008Tribe1190,Hejnol2009Tribe3252_0,Borowiec2015_Total1080OG712.fasta.aln_gene784,
100	Philippe2009Gene_0059,Hejnol2009Tribe276_0,Nosenko2013_ribo_14615KOG1714,Nosenko2013_ribo_11057KOG1714,Borowiec2015_Total1080OG360.fasta.aln_gene415,Dunn2008Tribe179,Ryan2013_estgene221,Chang2015rpl18,
101	Borowiec2015_Total1080OG478.fasta.aln_gene540,Simion2017V2META14141-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0084,Whelan2015_D20Gene_0084,Whelan2017_fullSubset13_01,Ryan2013_estgene336,Whelan2015_D10Gene_0084,Hejnol2009Tribe1521_0,
102	Whelan2015_D10Gene_0641,Whelan2015_D20Gene_0641,Whelan2017_fullSubset5_08,Borowiec2015_Total1080OG667.fasta.aln_gene734,Moroz2014_3d641,Simion2017V2META14530-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0641,Hejnol2009Tribe4027_0,
103	Borowiec2015_Total1080OG833.fasta.aln_gene913,Ryan2013_estgene375,Whelan2015_D10Gene_0624,Hejnol2009Tribe1598_0,Whelan2015_D20Gene_0624,Dunn2008Tribe1335,Simion2017V2META14369-42-Calc_Hmm10-BMGE05,Whelan2015_D1Gene_0624,
104	Whelan2015_D1Gene_0041,Borowiec2015_Total1080OG897.fasta.aln_gene981,Whelan2015_D20Gene_0041,Whelan2017_fullSubset5_01,Moroz2014_3d41,Whelan2015_D10Gene_0041,Simion2017V2META14204-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe2996_0,
105	Moroz2014_3d975,Whelan2015_D1Gene_0975,Whelan2017_fullSubset23_07,Whelan2015_D10Gene_0975,Hejnol2009Tribe2845_0,Whelan2015_D20Gene_0975,Borowiec2015_Total1080OG905.fasta.aln_gene991,Simion2017V2META14735-42-Calc_Hmm10-BMGE05,
106	Nosenko2013_ribo_11057KOG0327,Chang2015if4a_01,Philippe2009Gene_0025,Chang2015if4a,Nosenko2013_ribo_14615KOG0327,Philippe2009Gene_0026,Simion2017V2META10102-2-2-2-42-Calc_Hmm10-BMGE05,Nosenko2013_ribo_14615KOG0328,
107	Chang2015if6,Ryan2013_estgene166,Whelan2015_D20Gene_0007,Whelan2015_D1Gene_0007,Simion2017V2META14109-42-Calc_Hmm10-BMGE05,Whelan2017_fullSubset1_01,Hejnol2009Tribe1463_0,Whelan2015_D10Gene_0007,
108	Philippe2009Gene_0030,Whelan2017_strictSubset30,Philippe2009Gene_0032,Whelan2015_D1Gene_0571,Simion2017V2META10203-1-1-42-Calc_Hmm10-BMGE05,Philippe2009Gene_0031,Whelan2017_fullSubset39_01,Chang2015nsf1_01,
109	Philippe2009Gene_0075,Nosenko2013_ribo_14615KOG0887,Dunn2008Tribe268,Simion2017V2META14374-42-Calc_Hmm10-BMGE05,Hejnol2009Tribe387_0,Nosenko2013_ribo_11057KOG0887,Chang2015rpl33a,Ryan2013_estgene107,
110	Whelan2015_D1Gene_0277,Nosenko2013_ribo_11057KOG3475,Dunn2008Tribe241,Whelan2015_D10Gene_0277,Whelan2015_D20Gene_0277,Nosenko2013_ribo_14615KOG3475,Philippe2009Gene_0079,Chang2015rpl37a,
