	component_number	matrix_partition
50	6	Borowiec2015_Total1080OG567.fasta.aln_gene629
51	6	Simion2017V2META13230-42-Calc_Hmm10-BMGE05
52	7	Whelan2017_fullSubset2_09
53	7	Simion2017V2META13215-42-Calc_Hmm10-BMGE05
54	8	Simion2017V2META13102-42-Calc_Hmm10-BMGE05
55	8	Whelan2017_fullSubset2_15
56	8	Moroz2014_3d518
57	9	Simion2017V2META12968-42-Calc_Hmm10-BMGE05
58	9	Whelan2017_fullSubset29_01
59	9	Borowiec2015_Total1080OG174.fasta.aln_gene214
60	10	Whelan2017_fullSubset2_11
61	10	Borowiec2015_Total1080OG1142.fasta.aln_gene134
62	11	Dunn2008Tribe1292
63	11	Whelan2017_fullSubset37_02
64	11	Philippe2009Gene_0124
65	11	Simion2017V2META14191-42-Calc_Hmm10-BMGE05
66	11	Hejnol2009Tribe1506_0
67	11	Chang2015vacaatpasepl21
68	12	Whelan2017_fullSubset4_19
69	13	Simion2017V2META10197-2-2-2-2-42-Calc_Hmm10-BMGE05
70	13	Whelan2017_fullSubset2_23
71	13	Chang2015ef1_01
72	14	Chang2015cct_01
73	14	Borowiec2015_Best108OG6.fasta.aln_gene88
74	14	Whelan2017_fullSubset3_01
75	14	Borowiec2015_Best108OG4.fasta.aln_gene62
76	14	Borowiec2015_Total1080OG6.fasta.aln_gene771
77	14	Simion2017V2META10144-2-1-42-Calc_Hmm10-BMGE05
78	14	Simion2017V2META10144-2-2-2-2-42-Calc_Hmm10-BMGE05
79	14	Borowiec2015_Best108OG3.fasta.aln_gene48
80	14	Simion2017V2META13072-42-Calc_Hmm10-BMGE05
81	14	Philippe2009Gene_0008
82	14	Philippe2009Gene_0011
83	14	Borowiec2015_Total1080OG3.fasta.aln_gene457
84	14	Philippe2009Gene_0010
85	14	Simion2017V2META12513-42-Calc_Hmm10-BMGE05
86	14	Philippe2009Gene_0012
87	14	Philippe2009Gene_0009
88	14	Philippe2009Gene_0005
89	14	Simion2017V2META10144-2-2-1-42-Calc_Hmm10-BMGE05
90	14	Ryan2013_estgene106
91	14	Borowiec2015_Total1080OG4.fasta.aln_gene564
92	14	Philippe2009Gene_0007
93	15	Borowiec2015_Total1080OG390.fasta.aln_gene446
94	15	Nosenko2013_ribo_14615KOG0886
95	15	Chang2015rpl12b
96	15	Nosenko2013_ribo_11057KOG0886
97	15	Dunn2008Tribe213
98	15	Philippe2009Gene_0053
99	16	Nosenko2013_ribo_11057KOG1696
100	16	Ryan2013_estgene6
101	16	Dunn2008Tribe174
102	16	Nosenko2013_ribo_14615KOG1696
103	16	Chang2015rpl19a
104	16	Philippe2009Gene_0060
105	16	Whelan2017_fullSubset3_04
106	17	Borowiec2015_Best108OG30.fasta.aln_gene38
107	17	Borowiec2015_Total1080OG30.fasta.aln_gene361
108	17	Ryan2013_estgene339
109	17	Simion2017V2META11247-2-42-Calc_Hmm10-BMGE05
110	17	Whelan2017_fullSubset3_05
111	17	Whelan2017_fullSubset11_05
112	18	Nosenko2013_nonribo_9187KOG1370
113	18	Philippe2009Gene_0118
114	19	Nosenko2013_ribo_14615KOG0898
115	19	Ryan2013_estgene14
116	19	Chang2015rps15
117	19	Nosenko2013_ribo_11057KOG0898
118	19	Whelan2017_fullSubset3_03
119	19	Dunn2008Tribe199
120	19	Borowiec2015_Total1080OG731.fasta.aln_gene804
121	19	Philippe2009Gene_0095
122	20	Borowiec2015_Total1080OG1130.fasta.aln_gene122
123	20	Borowiec2015_Best108OG1130.fasta.aln_gene8
124	20	Simion2017V2META11066-1-42-Calc_Hmm10-BMGE05
125	21	Ryan2013_estgene104
126	21	Hejnol2009Tribe2987_0
127	21	Simion2017V2META13293-42-Calc_Hmm10-BMGE05
128	21	Whelan2017_fullSubset23_03
129	22	Simion2017V2META13465-42-Calc_Hmm10-BMGE05
130	22	Ryan2013_estgene268
131	22	Whelan2017_fullSubset29_06
132	23	Nosenko2013_ribo_14615KOG3424
133	23	Ryan2013_estgene365
134	23	Nosenko2013_ribo_11057KOG3424
135	23	Dunn2008Tribe243
136	23	Chang2015rps24
137	23	Philippe2009Gene_0104
138	24	Whelan2015_D1Gene_0563
139	24	Whelan2017_fullSubset2_16
140	24	Whelan2015_D20Gene_0563
141	24	Whelan2015_D10Gene_0563
142	25	Ryan2013_estgene247
143	25	Hejnol2009Tribe4799_0
144	25	Whelan2017_fullSubset2_04
145	25	Whelan2015_D1Gene_0101
146	25	Whelan2015_D10Gene_0101
147	26	Borowiec2015_Total1080OG299.fasta.aln_gene349
148	26	Whelan2017_fullSubset29_07
149	26	Hejnol2009Tribe2262_0
150	27	Ryan2013_estgene86
151	27	Whelan2017_fullSubset23_04
152	27	Dunn2008Tribe1118
153	27	Hejnol2009Tribe1563_0
154	28	Simion2017V2META13674-42-Calc_Hmm10-BMGE05
155	28	Whelan2017_fullSubset2_12
156	28	Nosenko2013_nonribo_9187KOG1373
157	28	Ryan2013_estgene395
158	28	Borowiec2015_Total1080OG78.fasta.aln_gene866
159	28	Borowiec2015_Total1080OG79.fasta.aln_gene876
160	28	Borowiec2015_Best108OG79.fasta.aln_gene94
161	28	Whelan2017_fullSubset32_04
162	28	Philippe2009Gene_0038
163	28	Philippe2009Gene_0043
164	28	Simion2017V2META13728-42-Calc_Hmm10-BMGE05
165	28	Philippe2009Gene_0039
166	28	Ryan2013_estgene150
167	28	Ryan2013_estgene23
168	28	Simion2017V2META14579-42-Calc_Hmm10-BMGE05
169	28	Philippe2009Gene_0042
170	28	Chang2015psma_01
171	28	Simion2017V2META14938-42-Calc_Hmm10-BMGE05
172	28	Ryan2013_estgene76
173	28	Philippe2009Gene_0037
174	28	Philippe2009Gene_0040
175	28	Ryan2013_estgene172
176	28	Simion2017V2META14414-42-Calc_Hmm10-BMGE05
177	29	Philippe2009Gene_0017
178	29	Whelan2015_D1Gene_0542
179	29	Borowiec2015_Total1080OG423.fasta.aln_gene483
180	29	Borowiec2015_Best108OG423.fasta.aln_gene50
181	29	Whelan2017_fullSubset32_03
182	29	Whelan2015_D20Gene_0542
183	29	Chang2015fibri
184	29	Simion2017V2META14219-42-Calc_Hmm10-BMGE05
185	29	Whelan2015_D10Gene_0542
186	30	Simion2017V2META13770-42-Calc_Hmm10-BMGE05
187	30	Ryan2013_estgene125
188	30	Borowiec2015_Total1080OG167.fasta.aln_gene207
189	30	Borowiec2015_Best108OG167.fasta.aln_gene17
190	30	Whelan2017_fullSubset21_07
191	31	Borowiec2015_Total1080OG617.fasta.aln_gene683
192	31	Simion2017V2META13371-42-Calc_Hmm10-BMGE05
193	31	Whelan2017_fullSubset21_06
194	31	Whelan2015_D1Gene_0658
195	31	Whelan2015_D10Gene_0658
196	31	Hejnol2009Tribe1790_0
197	31	Whelan2015_D20Gene_0658
198	31	Dunn2008Tribe1294
199	31	Ryan2013_estgene61
200	31	Chang2015tribe1294
201	32	Simion2017V2META12496-42-Calc_Hmm10-BMGE05
202	32	Moroz2014_3d1018
203	32	Whelan2017_fullSubset2_22
204	33	Simion2017V2META11690-42-Calc_Hmm10-BMGE05
205	33	Whelan2017_fullSubset2_05
206	33	Ryan2013_estgene373
207	33	Simion2017V2META12747-42-Calc_Hmm10-BMGE05
208	34	Simion2017V2META12970-42-Calc_Hmm10-BMGE05
209	35	Simion2017V2META10192-2-1-42-Calc_Hmm10-BMGE05
210	36	Simion2017V2META10192-2-2-1-42-Calc_Hmm10-BMGE05
211	37	Borowiec2015_Total1080OG491.fasta.aln_gene555
212	37	Simion2017V2META10192-1-1-42-Calc_Hmm10-BMGE05
213	38	Simion2017V2META13563-42-Calc_Hmm10-BMGE05
214	38	Whelan2017_fullSubset21_10
215	38	Borowiec2015_Total1080OG355.fasta.aln_gene409
216	39	Dunn2008Tribe833
217	39	Hejnol2009Tribe916_0
218	39	Borowiec2015_Total1080OG427.fasta.aln_gene487
219	39	Dunn2008Tribe1162
220	39	Simion2017V2META14987-42-Calc_Hmm10-BMGE05
221	39	Philippe2009Gene_0050
222	39	Simion2017V2META14100-42-Calc_Hmm10-BMGE05
223	39	Borowiec2015_Total1080OG75.fasta.aln_gene834
224	39	Ryan2013_estgene398
225	39	Simion2017V2META13432-42-Calc_Hmm10-BMGE05
226	39	Philippe2009Gene_0048
227	39	Simion2017V2META13815-42-Calc_Hmm10-BMGE05
228	39	Simion2017V2META12531-42-Calc_Hmm10-BMGE05
229	39	Hejnol2009Tribe1038_0
230	39	Philippe2009Gene_0044
231	39	Borowiec2015_Total1080OG596.fasta.aln_gene661
232	39	Chang2015psmb_01
233	39	Simion2017V2META14917-42-Calc_Hmm10-BMGE05
234	39	Philippe2009Gene_0047
235	39	Ryan2013_estgene238
236	39	Ryan2013_estgene402
237	39	Hejnol2009Tribe1379_0
238	39	Borowiec2015_Best108OG75.fasta.aln_gene92
239	39	Philippe2009Gene_0046
240	39	Nosenko2013_nonribo_9187KOG0185
241	39	Dunn2008Tribe703
242	39	Dunn2008Tribe868
243	39	Borowiec2015_Best108OG427.fasta.aln_gene51
244	39	Borowiec2015_Best108OG596.fasta.aln_gene76
245	39	Ryan2013_estgene95
246	39	Philippe2009Gene_0045
247	40	Hejnol2009Tribe1658_0
248	40	Whelan2015_D10Gene_0703
249	40	Whelan2017_fullSubset20_04
250	40	Borowiec2015_Best108OG689.fasta.aln_gene87
251	40	Whelan2015_D1Gene_0703
252	40	Simion2017V2META13794-42-Calc_Hmm10-BMGE05
253	40	Whelan2015_D20Gene_0703
254	40	Borowiec2015_Total1080OG689.fasta.aln_gene758
255	41	Simion2017V2META14160-42-Calc_Hmm10-BMGE05
256	41	Ryan2013_estgene16
257	41	Hejnol2009Tribe2345_0
258	41	Simion2017V2META13766-42-Calc_Hmm10-BMGE05
259	41	Borowiec2015_Total1080OG271.fasta.aln_gene319
260	41	Whelan2017_fullSubset18_02
261	42	Whelan2017_fullSubset20_02
262	42	Simion2017V2META14192-42-Calc_Hmm10-BMGE05
263	42	Ryan2013_estgene173
264	43	Whelan2017_fullSubset18_06
265	43	Moroz2014_3d997
266	43	Borowiec2015_Total1080OG276.fasta.aln_gene324
267	44	Ryan2013_estgene120
268	44	Dunn2008Tribe225
269	44	Nosenko2013_ribo_11057KOG3166
270	44	Borowiec2015_Total1080OG77.fasta.aln_gene855
271	44	Hejnol2009Tribe275_0
272	44	Philippe2009Gene_0029
273	44	Nosenko2013_ribo_14615KOG3387
274	44	Nosenko2013_ribo_11057KOG0886_01
275	44	Borowiec2015_Best108OG144.fasta.aln_gene15
276	44	Nosenko2013_ribo_14615KOG3166
277	44	Simion2017V2META14768-42-Calc_Hmm10-BMGE05
278	44	Dunn2008Tribe169
279	44	Philippe2009Gene_0028
280	44	Ryan2013_estgene9
281	44	Philippe2009Gene_0027
282	44	Borowiec2015_Total1080OG310.fasta.aln_gene362
283	44	Nosenko2013_ribo_11057KOG3387
284	44	Chang2015l12e_01
285	44	Borowiec2015_Total1080OG144.fasta.aln_gene183
286	44	Nosenko2013_ribo_14615KOG0886_01
287	45	Whelan2015_D10Gene_0576
288	45	Borowiec2015_Total1080OG89.fasta.aln_gene984
289	45	Whelan2017_fullSubset24_02
290	45	Borowiec2015_Best108OG86.fasta.aln_gene101
291	45	Chang2015mcm_01
292	45	Whelan2017_fullSubset2_17
293	45	Ryan2013_estgene24
294	45	Simion2017V2META10053-2-1-42-Calc_Hmm10-BMGE05
295	45	Borowiec2015_Total1080OG84.fasta.aln_gene930
296	45	Whelan2015_D20Gene_0576
297	45	Borowiec2015_Total1080OG85.fasta.aln_gene940
298	45	Whelan2017_strictSubset29
299	45	Borowiec2015_Best108OG85.fasta.aln_gene100
300	45	Ryan2013_estgene112
301	45	Borowiec2015_Best108OG84.fasta.aln_gene99
302	45	Whelan2015_D1Gene_0576
303	45	Borowiec2015_Total1080OG86.fasta.aln_gene951
304	45	Borowiec2015_Best108OG89.fasta.aln_gene105
305	46	Dunn2008Tribe1244
306	46	Simion2017V2META14531-42-Calc_Hmm10-BMGE05
307	46	Chang2015tribe1244
308	46	Hejnol2009Tribe1273_0
309	46	Whelan2017_fullSubset11_03
310	47	Whelan2017_fullSubset1_02
311	47	Simion2017V2META11726-2-42-Calc_Hmm10-BMGE05
312	48	Whelan2017_fullSubset1_04
313	48	Chang2015srp54
314	48	Simion2017V2META13793-42-Calc_Hmm10-BMGE05
315	49	Whelan2015_D10Gene_0843
316	49	Whelan2015_D20Gene_0843
317	49	Philippe2009Gene_0102
318	49	Nosenko2013_ribo_11057KOG1754
319	49	Whelan2015_D1Gene_0843
320	49	Nosenko2013_ribo_14615KOG1754
321	49	Chang2015rps22a
322	50	Borowiec2015_Total1080OG909.fasta.aln_gene995
323	50	Simion2017V2META15121-42-Calc_Hmm10-BMGE05
324	50	Borowiec2015_Best108OG81.fasta.aln_gene96
325	50	Borowiec2015_Total1080OG1007.fasta.aln_gene7
326	50	Whelan2015_D20Gene_0315
327	50	Borowiec2015_Total1080OG81.fasta.aln_gene899
328	50	Borowiec2015_Total1080OG1101.fasta.aln_gene94
329	50	Simion2017V2META13837-42-Calc_Hmm10-BMGE05
330	50	Ryan2013_estgene181
331	50	Borowiec2015_Total1080OG406.fasta.aln_gene464
332	50	Simion2017V2META13469-42-Calc_Hmm10-BMGE05
333	50	Borowiec2015_Total1080OG585.fasta.aln_gene649
334	50	Whelan2015_D1Gene_0315
335	50	Borowiec2015_Total1080OG706.fasta.aln_gene777
336	50	Whelan2015_D10Gene_0315
337	50	Simion2017V2META13743-42-Calc_Hmm10-BMGE05
338	51	Borowiec2015_Total1080OG561.fasta.aln_gene623
339	51	Ryan2013_estgene47
340	51	Borowiec2015_Best108OG561.fasta.aln_gene71
341	51	Whelan2017_fullSubset20_06
342	51	Simion2017V2META14419-42-Calc_Hmm10-BMGE05
343	51	Hejnol2009Tribe1731_0
344	52	Simion2017V2META11924-42-Calc_Hmm10-BMGE05
345	52	Chang2015xpb
346	52	Whelan2017_fullSubset2_18
347	52	Whelan2015_D1Gene_0587
348	53	Whelan2015_D1Gene_0989
349	53	Whelan2015_D10Gene_0989
350	53	Simion2017V2META12318-42-Calc_Hmm10-BMGE05
351	53	Whelan2015_D20Gene_0989
352	54	Whelan2015_D20Gene_0470
353	54	Whelan2015_D10Gene_0470
354	54	Borowiec2015_Total1080OG1079.fasta.aln_gene74
355	54	Moroz2014_3d470
356	54	Simion2017V2META14034-42-Calc_Hmm10-BMGE05
357	54	Ryan2013_estgene385
358	54	Borowiec2015_Total1080OG1037.fasta.aln_gene34
359	54	Hejnol2009Tribe3232_0
360	54	Whelan2015_D1Gene_0470
361	55	Simion2017V2META11175-42-Calc_Hmm10-BMGE05
362	55	Whelan2015_D10Gene_0446
363	55	Whelan2015_D20Gene_0446
364	55	Whelan2015_D1Gene_0446
365	56	Simion2017V2META13389-42-Calc_Hmm10-BMGE05
366	57	Whelan2017_fullSubset22_06
367	57	Borowiec2015_Total1080OG384.fasta.aln_gene439
368	57	Simion2017V2META14137-42-Calc_Hmm10-BMGE05
369	57	Borowiec2015_Best108OG384.fasta.aln_gene47
370	58	Simion2017V2META11390-42-Calc_Hmm10-BMGE05
371	58	Whelan2015_D1Gene_0884
372	58	Whelan2017_fullSubset22_07
373	59	Borowiec2015_Total1080OG672.fasta.aln_gene740
374	59	Whelan2017_fullSubset5_10
375	59	Simion2017V2META10948-1-42-Calc_Hmm10-BMGE05
376	59	Ryan2013_estgene277
377	60	Simion2017V2META10832-1-42-Calc_Hmm10-BMGE05
378	60	Moroz2014_3d1015
379	61	Whelan2017_fullSubset4_05
380	61	Whelan2015_D10Gene_0121
381	61	Whelan2015_D1Gene_0121
382	61	Simion2017V2META13636-42-Calc_Hmm10-BMGE05
383	62	Whelan2017_fullSubset10_14
384	62	Ryan2013_estgene235
385	62	Simion2017V2META12260-42-Calc_Hmm10-BMGE05
386	62	Hejnol2009Tribe2740_0
387	63	Whelan2015_D10Gene_0857
388	63	Whelan2015_D1Gene_0857
389	63	Whelan2015_D20Gene_0857
390	63	Simion2017V2META12313-42-Calc_Hmm10-BMGE05
391	64	Whelan2017_fullSubset22_02
392	64	Whelan2015_D1Gene_0281
393	64	Whelan2015_D10Gene_0281
394	64	Hejnol2009Tribe3027_0
395	64	Borowiec2015_Total1080OG184.fasta.aln_gene225
396	64	Whelan2015_D20Gene_0281
397	65	Simion2017V2META10904-42-Calc_Hmm10-BMGE05
398	65	Whelan2015_D1Gene_0428
399	66	Whelan2017_fullSubset21_01
400	66	Simion2017V2META12814-42-Calc_Hmm10-BMGE05
401	67	Simion2017V2META12404-42-Calc_Hmm10-BMGE05
402	68	Simion2017V2META12131-42-Calc_Hmm10-BMGE05
403	68	Borowiec2015_Total1080OG579.fasta.aln_gene642
404	68	Hejnol2009Tribe2540_0
405	68	Whelan2015_D1Gene_0678
406	68	Whelan2015_D10Gene_0678
407	68	Ryan2013_estgene288
408	68	Whelan2015_D20Gene_0678
409	69	Whelan2015_D10Gene_0677
410	69	Whelan2015_D1Gene_0677
411	69	Simion2017V2META15708-42-Calc_Hmm10-BMGE05
412	69	Borowiec2015_Total1080OG786.fasta.aln_gene862
413	70	Whelan2015_D1Gene_0629
414	70	Ryan2013_estgene352
415	70	Simion2017V2META13556-42-Calc_Hmm10-BMGE05
416	70	Hejnol2009Tribe2802_0
417	70	Simion2017V2META17779-42-Calc_Hmm10-BMGE05
418	70	Borowiec2015_Total1080OG655.fasta.aln_gene721
419	70	Whelan2015_D20Gene_0629
420	70	Hejnol2009Tribe2716_0
421	70	Whelan2017_fullSubset26_06
422	70	Borowiec2015_Total1080OG702.fasta.aln_gene773
423	70	Moroz2014_3d629
424	70	Whelan2015_D10Gene_0629
425	71	Borowiec2015_Total1080OG594.fasta.aln_gene659
426	71	Nosenko2013_ribo_11057KOG1723
427	71	Whelan2015_D10Gene_0063
428	71	Philippe2009Gene_0067
429	71	Borowiec2015_Best108OG594.fasta.aln_gene75
430	71	Nosenko2013_ribo_14615KOG1723
431	71	Simion2017V2META14926-42-Calc_Hmm10-BMGE05
432	71	Chang2015rpl24
433	71	Whelan2015_D20Gene_0063
434	71	Whelan2015_D1Gene_0063
435	71	Whelan2017_fullSubset2_03
436	72	Whelan2015_D20Gene_0278
437	72	Moroz2014_3d278
438	72	Hejnol2009Tribe2747_0
439	72	Whelan2015_D1Gene_0278
440	72	Whelan2015_D10Gene_0278
441	73	Borowiec2015_Total1080OG1030.fasta.aln_gene28
442	73	Whelan2015_D20Gene_0272
443	73	Moroz2014_3d272
444	73	Whelan2015_D10Gene_0272
445	73	Whelan2015_D1Gene_0272
446	74	Whelan2017_fullSubset21_05
447	74	Simion2017V2META10814-1-42-Calc_Hmm10-BMGE05
448	75	Chang2015glcn
449	75	Whelan2017_fullSubset4_11
450	75	Simion2017V2META12674-42-Calc_Hmm10-BMGE05
451	75	Moroz2014_3d509
452	75	Borowiec2015_Total1080OG254.fasta.aln_gene301
453	76	Simion2017V2META13624-42-Calc_Hmm10-BMGE05
454	76	Whelan2017_fullSubset4_06
455	76	Moroz2014_3d145
456	77	Borowiec2015_Total1080OG35.fasta.aln_gene414
457	77	Simion2017V2META10852-1-42-Calc_Hmm10-BMGE05
458	77	Borowiec2015_Total1080OG39.fasta.aln_gene456
459	77	Simion2017V2META10155-1-42-Calc_Hmm10-BMGE05
460	77	Borowiec2015_Total1080OG40.fasta.aln_gene468
461	77	Simion2017V2META10423-1-1-42-Calc_Hmm10-BMGE05
462	77	Nosenko2013_nonribo_9187KOG0594
463	77	Borowiec2015_Total1080OG36.fasta.aln_gene424
464	77	Ryan2013_estgene404
465	77	Borowiec2015_Total1080OG37.fasta.aln_gene434
466	77	Borowiec2015_Total1080OG38.fasta.aln_gene445
467	78	Whelan2015_D20Gene_0066
468	78	Hejnol2009Tribe2683_0
469	78	Ryan2013_estgene146
470	78	Whelan2015_D10Gene_0066
471	78	Whelan2015_D1Gene_0066
472	78	Borowiec2015_Total1080OG409.fasta.aln_gene467
473	79	Whelan2015_D10Gene_0035
474	79	Whelan2015_D1Gene_0035
475	79	Whelan2015_D20Gene_0035
476	79	Simion2017V2META10840-2-42-Calc_Hmm10-BMGE05
477	80	Whelan2015_D1Gene_1004
478	80	Hejnol2009Tribe2484_0
479	80	Whelan2015_D1Gene_0328
480	80	Simion2017V2META13816-42-Calc_Hmm10-BMGE05
481	80	Whelan2017_strictSubset22
482	80	Whelan2017_fullSubset4_20
483	80	Whelan2015_D20Gene_0328
484	80	Whelan2015_D10Gene_0328
485	80	Whelan2017_fullSubset28_01
486	80	Simion2017V2META14547-42-Calc_Hmm10-BMGE05
487	80	Borowiec2015_Total1080OG707.fasta.aln_gene778
488	81	Ryan2013_estgene161
489	81	Simion2017V2META14176-42-Calc_Hmm10-BMGE05
490	81	Borowiec2015_Total1080OG633.fasta.aln_gene698
491	81	Nosenko2013_ribo_14615KOG3421
492	81	Borowiec2015_Best108OG633.fasta.aln_gene80
493	81	Nosenko2013_ribo_11057KOG3421
494	81	Borowiec2015_Total1080OG784.fasta.aln_gene860
495	81	Philippe2009Gene_0055
496	81	Chang2015rpl14a
497	81	Dunn2008Tribe325
498	82	Ryan2013_estgene391
499	82	Simion2017V2META13108-42-Calc_Hmm10-BMGE05
500	82	Chang2015orf2
501	82	Whelan2017_fullSubset31_01
502	82	Moroz2014_3d483
503	82	Hejnol2009Tribe2779_0
504	82	Borowiec2015_Total1080OG378.fasta.aln_gene432
505	82	Whelan2017_strictSubset26
506	82	Borowiec2015_Best108OG378.fasta.aln_gene45
507	83	Whelan2015_D1Gene_0807
508	83	Hejnol2009Tribe926_0
509	83	Simion2017V2META14188-42-Calc_Hmm10-BMGE05
510	83	Whelan2015_D20Gene_0807
511	83	Dunn2008Tribe700
512	83	Borowiec2015_Best108OG430.fasta.aln_gene52
513	83	Whelan2015_D10Gene_0807
514	83	Ryan2013_estgene140
515	83	Borowiec2015_Total1080OG430.fasta.aln_gene491
516	84	Whelan2015_D10Gene_0668
517	84	Whelan2017_fullSubset5_09
518	84	Hejnol2009Tribe5088_0
519	84	Whelan2015_D20Gene_0668
520	84	Whelan2015_D1Gene_0668
521	84	Moroz2014_3d668
522	84	Borowiec2015_Best108OG548.fasta.aln_gene67
523	84	Borowiec2015_Total1080OG548.fasta.aln_gene612
524	84	Simion2017V2META14578-42-Calc_Hmm10-BMGE05
525	85	Dunn2008Tribe200
526	85	Nosenko2013_ribo_11057KOG3353
527	85	Nosenko2013_ribo_14615KOG3353
528	85	Chang2015rpl17
529	85	Philippe2009Gene_0058
530	86	Borowiec2015_Total1080OG1113.fasta.aln_gene105
531	86	Ryan2013_estgene136
532	86	Hejnol2009Tribe2007_0
533	87	Hejnol2009Tribe2663_0
534	87	Whelan2017_fullSubset7_04
535	87	Borowiec2015_Total1080OG631.fasta.aln_gene696
536	87	Simion2017V2META12691-42-Calc_Hmm10-BMGE05
537	88	Whelan2017_fullSubset10_03
538	88	Simion2017V2META14565-42-Calc_Hmm10-BMGE05
539	89	Simion2017V2META13890-42-Calc_Hmm10-BMGE05
540	89	Borowiec2015_Total1080OG338.fasta.aln_gene390
541	90	Borowiec2015_Total1080OG407.fasta.aln_gene465
542	90	Whelan2015_D1Gene_0337
543	90	Whelan2017_fullSubset26_02
544	90	Simion2017V2META14820-42-Calc_Hmm10-BMGE05
545	91	Whelan2017_fullSubset10_08
546	91	Hejnol2009Tribe2193_0
547	91	Simion2017V2META11869-42-Calc_Hmm10-BMGE05
548	91	Whelan2015_D1Gene_0545
549	92	Whelan2015_D10Gene_0129
550	92	Borowiec2015_Total1080OG904.fasta.aln_gene990
551	92	Dunn2008Tribe740
552	92	Moroz2014_3d129
553	92	Simion2017V2META15328-42-Calc_Hmm10-BMGE05
554	92	Hejnol2009Tribe967_0
555	92	Ryan2013_estgene160
556	92	Whelan2015_D20Gene_0129
557	92	Whelan2015_D1Gene_0129
558	93	Whelan2017_fullSubset4_17
559	93	Hejnol2009Tribe2974_0
560	93	Whelan2015_D1Gene_0819
561	93	Whelan2015_D10Gene_0819
562	93	Ryan2013_estgene177
563	93	Borowiec2015_Total1080OG916.fasta.aln_gene1001
564	93	Moroz2014_3d819
565	93	Whelan2015_D20Gene_0819
566	93	Simion2017V2META14108-42-Calc_Hmm10-BMGE05
567	94	Hejnol2009Tribe1219_0
568	94	Simion2017V2META15433-42-Calc_Hmm10-BMGE05
569	94	Chang2015tribe1099
570	94	Ryan2013_estgene137
571	94	Dunn2008Tribe1099
572	94	Whelan2017_fullSubset2_21
573	94	Whelan2015_D20Gene_0933
574	94	Whelan2015_D10Gene_0933
575	94	Whelan2015_D1Gene_0933
576	95	Borowiec2015_Best108OG1064.fasta.aln_gene5
577	95	Chang2015hsp70_01
578	95	Borowiec2015_Total1080OG1065.fasta.aln_gene62
579	95	Nosenko2013_nonribo_9187KOG0100
580	95	Philippe2009Gene_0020
581	95	Philippe2009Gene_0019
582	95	Chang2015hsp70
583	95	Borowiec2015_Total1080OG1064.fasta.aln_gene61
584	96	Borowiec2015_Best108OG253.fasta.aln_gene28
585	96	Nosenko2013_ribo_14615KOG3255
586	96	Dunn2008Tribe143
587	96	Nosenko2013_ribo_11057KOG3255
588	96	Chang2015rpl9
589	96	Philippe2009Gene_0088
590	96	Simion2017V2META13546-42-Calc_Hmm10-BMGE05
591	96	Borowiec2015_Total1080OG253.fasta.aln_gene300
